Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Rachelle De Jong-Viinberg;33;2012;08/12/2012;0;1;0
Natalie Dell;27;2012;08/12/2012;0;0;1
Yana Dementieva;33;2012;08/12/2012;1;0;0
Nataliya Dovhodko;21;2012;08/12/2012;1;0;0
Mahé Drysdale;33;2012;08/12/2012;1;0;0
Joshua Dunkley-Smith;23;2012;08/12/2012;0;1;0
Eskild Ebbesen;40;2012;08/12/2012;0;0;1
Ric Egington;33;2012;08/12/2012;0;0;1
Fie Udby Erichsen;27;2012;08/12/2012;0;1;0
James Foad;25;2012;08/12/2012;0;0;1
Karsten Forsterling;32;2012;08/12/2012;0;0;1
Susan Francia;29;2012;08/12/2012;1;0;0
Magdalena Fularczyk;25;2012;08/12/2012;0;0;1
Scott Gault;29;2012;08/12/2012;0;0;1
Khristina Giazitzidou;22;2012;08/12/2012;0;0;1
Rob Gibson;26;2012;08/12/2012;0;1;0
Drew Ginn;37;2012;08/12/2012;0;1;0
Helen Glover;26;2012;08/12/2012;1;0;0
Katherine Grainger;36;2012;08/12/2012;1;0;0
